course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
WRIT    107M,WHITTET E O,Spring,2024,11,0,0,0,1,21,0,3.680952381,0,WRIT,0,0,0,0,0,0,9,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    107WC,WEBBER M A,Spring,2024,17,2,0,0,0,25,0,3.768,0,WRIT,0,0,0,5,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109ED,WARWICK N L,Spring,2024,19,4,2,0,1,50,0,3.568,0,WRIT,0,0,8,12,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109F,HUK P M,Spring,2024,9,0,0,0,0,16,0,3.89375,0,WRIT,0,0,4,2,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109GS,GRUE M N,Spring,2024,18,1,0,0,0,26,0,3.9,0,WRIT,0,0,3,1,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109GS,VERTIZ V,Spring,2024,10,0,0,0,1,25,0,3.692,0,WRIT,0,0,9,2,1,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109HP,HARRIS D R,Spring,2024,16,0,0,0,1,25,0,3.696,0,WRIT,0,0,0,3,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109HP,SCHRANCK J B,Spring,2024,15,0,0,0,0,26,0,3.903846154,0,WRIT,0,0,4,1,0,0,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109HU,BAILLARGEON K,Spring,2024,20,0,0,0,2,24,0,3.641666667,0,WRIT,0,0,0,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109HU,SAUR E H,Spring,2024,14,2,1,1,1,25,0,3.384,0,WRIT,0,0,0,3,1,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    109SS,SAMUELS R D,Spring,2024,7,11,1,0,0,46,0,3.47173913,0,WRIT,0,0,0,8,0,0,19,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    131C,COKLIN L,Spring,2024,18,1,0,0,0,20,0,3.935,0,WRIT,0,0,0,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    151B,COTICH C,Spring,2024,5,7,1,0,0,25,0,3.284,0,WRIT,0,0,1,4,0,0,4,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    152B,MORRIS N S,Spring,2024,16,0,0,0,0,25,0,3.904,0,WRIT,0,0,1,0,0,0,8,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    153B,MCHUGH P,Spring,2024,17,1,0,0,1,23,0,3.713043478,0,WRIT,0,0,0,1,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    155B,SORAPURE M I,Spring,2024,12,1,0,0,0,25,0,3.784,0,WRIT,0,0,0,2,0,0,10,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    157B,ERNST B C,Spring,2024,19,1,0,0,0,24,0,3.891666667,0,WRIT,0,0,0,1,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    159B,STANSELL A,Spring,2024,8,0,0,0,0,18,0,3.716666667,0,WRIT,0,0,3,4,1,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
WRIT    162,GENOVA G L,Spring,2024,2,1,1,0,0,14,0,3.528571429,0,WRIT,0,0,4,2,0,0,3,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ANTH    239A,KENNETT D J,Spring,2024,4,0,0,0,0,5,0,3.94,0,ANTH,0,0,0,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ANTH    241A,THOMPSON GONZ,Spring,2024,6,0,0,0,0,6,0,4,0,ANTH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ANTH    245IA,GURVEN M D,Spring,2024,0,0,0,0,0,0,0,0,0,ANTH,6,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ANTH    250AB,BODDY A M,Spring,2024,6,0,0,0,0,6,0,4,0,ANTH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ART     260,LUKAS A V,Spring,2024,7,0,0,0,0,7,0,4,0,ART,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ART     261,MOULTON S M,Spring,2024,5,0,0,0,0,5,0,4,0,ART,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ARTHI   200A,OGBECHIE S O,Spring,2024,3,0,0,0,0,6,0,3.95,0,ARTHI,0,0,2,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
AS AM   595,PARK L S,Spring,2024,0,0,0,0,0,0,0,0,0,AS,8,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
BIOE    201,CLEGG D O,Spring,2024,15,0,0,0,0,15,0,4,0,BIOE,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
BIOE    225,MILLS C E,Spring,2024,0,0,0,0,0,0,0,0,0,BIOE,15,1,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
BIOE    250AC,VOLKMANN N,Spring,2024,6,0,0,0,0,10,0,3.88,0,BIOE,0,0,0,0,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
BIOE    258,PRUITT B,Spring,2024,2,0,0,1,0,6,0,3.183333333,0,BIOE,1,0,0,0,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
BIOE    272,O'MALLEY M A,Spring,2024,7,0,0,0,0,8,0,3.9125,0,BIOE,0,0,0,1,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
BMSE    262,FINKELSTEIN R,Spring,2024,0,0,0,0,0,0,0,0,0,BMSE,25,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
BMSE    596,WILSON M Z,Spring,2024,0,0,0,0,0,5,0,4,0,BMSE,0,0,5,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    216B,CHMELKA B F,Spring,2024,5,0,0,0,0,6,0,4,0,CH,0,0,1,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    220D,HELGESON M E,Spring,2024,4,0,0,0,0,6,0,3.9,0,CH,0,0,0,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    272,O'MALLEY M A,Spring,2024,7,0,0,0,0,8,0,3.9125,0,CH,0,0,0,1,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    290,SHELL M S,Spring,2024,0,0,0,0,0,0,0,0,0,CH,63,4,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    291,CHMELKA B F,Spring,2024,0,0,0,0,0,0,0,0,0,CH,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    291,FREDRICKSON G,Spring,2024,0,0,0,0,0,0,0,0,0,CH,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    291,O'MALLEY M A,Spring,2024,0,0,0,0,0,0,0,0,0,CH,6,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    291,SEGALMAN R A,Spring,2024,0,0,0,0,0,0,0,0,0,CH,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    291,SHELL M S,Spring,2024,0,0,0,0,0,0,0,0,0,CH,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH E    291,TAKATORI S,Spring,2024,0,0,0,0,0,0,0,0,0,CH,7,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CH ST   210,GARCIA S,Spring,2024,0,0,0,0,0,8,0,4,0,CH,0,0,8,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    219,SEPUNARU L,Spring,2024,3,1,0,0,0,6,0,3.733333333,0,CHEM,0,0,0,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    223,YANG Y,Spring,2024,5,0,0,0,0,5,0,4,0,CHEM,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    224,PETTUS T R,Spring,2024,1,2,0,0,0,7,0,3.428571429,0,CHEM,0,0,0,2,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    227,LITTLE R D,Spring,2024,10,0,0,0,0,15,0,3.866666667,0,CHEM,0,0,1,2,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    239RR,READ DE ALANI,Spring,2024,10,0,0,0,0,10,0,4,0,CHEM,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    259AA,CARLINI A S,Spring,2024,0,0,0,0,0,5,0,3.88,0,CHEM,0,0,3,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CHEM    290,SHEA J,Spring,2024,6,0,0,0,0,6,0,4,0,CHEM,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CLASS   232,MACLEAN R B,Spring,2024,4,0,0,0,0,6,0,3.9,0,CLASS,0,0,0,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   281B,WANG Y F,Spring,2024,13,2,0,0,0,15,0,3.866666667,0,CMPSC,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   291I,HOLLERER T,Spring,2024,12,0,1,0,0,26,0,3.773076923,0,CMPSC,0,0,0,0,0,0,13,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   291K,GUO W,Spring,2024,13,0,0,0,0,35,0,3.894285714,0,CMPSC,0,0,15,4,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   292C,FENG YU,Spring,2024,10,0,0,0,0,17,0,3.947058824,0,CMPSC,0,0,4,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   292F,YAN L,Spring,2024,7,1,0,0,0,20,0,3.7,0,CMPSC,0,0,2,5,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   292G,ANANTH P V,Spring,2024,22,0,0,0,0,24,0,4,0,CMPSC,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   293N,GUPTA A,Spring,2024,5,0,0,0,0,24,0,3.9375,0,CMPSC,0,0,14,0,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   293S,NIU M Y,Spring,2024,5,0,0,0,0,8,0,3.9625,0,CMPSC,0,0,2,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   502,LOKSHTANOV D,Spring,2024,0,0,0,0,0,0,0,0,0,CMPSC,41,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CMPSC   595N,BALKIND J M,Spring,2024,0,0,0,0,0,0,0,0,0,CMPSC,26,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   200,QUIRK M P,Spring,2024,3,0,0,0,0,6,0,4,0,CNCSP,0,0,3,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   217,THOMPSON M E,Spring,2024,13,1,0,0,0,17,0,3.888235294,0,CNCSP,0,0,0,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   226,ORTIZ A,Spring,2024,8,0,0,0,0,8,0,4,0,CNCSP,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   251,THOMPSON M E,Spring,2024,5,0,0,0,0,5,0,4,0,CNCSP,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   256,GOODWIN J W,Spring,2024,12,0,0,0,0,12,0,4,0,CNCSP,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   261A,CEREZO A,Spring,2024,8,0,0,0,0,8,0,4,0,CNCSP,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   264A,ZETZER H A,Spring,2024,0,0,0,0,0,0,0,0,0,CNCSP,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   271A,BARNETT M L,Spring,2024,0,0,0,0,0,0,0,0,0,CNCSP,7,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   271B,THOMPSON M E,Spring,2024,0,0,0,0,0,0,0,0,0,CNCSP,2,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   272,ZETZER H A,Spring,2024,0,0,0,0,0,0,0,0,0,CNCSP,7,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   273,ZETZER H A,Spring,2024,0,0,0,0,0,0,0,0,0,CNCSP,6,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   274C,ORTIZ A,Spring,2024,7,0,0,0,0,7,0,4,0,CNCSP,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   279C,BARNETT M L,Spring,2024,0,0,0,0,0,0,0,0,0,CNCSP,13,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   291C,FELIX E D,Spring,2024,9,0,0,0,0,9,0,4,0,CNCSP,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
CNCSP   292,EMMERSON L C,Spring,2024,12,0,0,0,0,12,0,4,0,CNCSP,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    204C,REID S A,Spring,2024,1,1,0,0,0,8,0,3.625,0,COMM,0,0,2,2,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    204M,MYERS K K,Spring,2024,15,0,0,0,0,15,0,4,0,COMM,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    217,NABI R L,Spring,2024,4,1,0,0,0,10,0,3.75,0,COMM,0,0,0,0,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    253,STOHL C,Spring,2024,3,0,0,0,0,5,0,3.88,0,COMM,0,0,0,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
COMM    505,STOHL C,Spring,2024,0,0,0,0,0,0,0,0,0,COMM,31,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DYNS    592,SMITH S L,Spring,2024,0,0,0,0,0,0,0,0,0,DYNS,17,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   255,TANIMOTO T,Spring,2024,3,0,0,0,0,3,0,4,0,EARTH,3,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   260,COTTLE J,Spring,2024,0,0,0,0,0,0,0,0,0,EARTH,25,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   268,COTTLE J,Spring,2024,0,0,0,0,0,0,0,0,0,EARTH,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   270GL,LI G,Spring,2024,7,0,0,0,0,7,0,4,0,EARTH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   270MR,RAVEN M R,Spring,2024,7,0,0,0,0,7,0,4,0,EARTH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   270PG,GANS P B,Spring,2024,0,0,0,0,0,7,0,3.3,0,EARTH,0,0,0,7,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   282A,VALENTINE D L,Spring,2024,5,0,0,0,0,5,0,4,0,EARTH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     217,PALMSTROM C J,Spring,2024,3,1,1,0,0,5,0,3.4,0,ECE,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     271A,MOSTOFI Y C,Spring,2024,11,0,0,0,0,11,0,4,0,ECE,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     271C,MARDEN J R,Spring,2024,4,0,0,0,0,5,0,3.94,0,ECE,0,0,0,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     278A,MIOLANE N,Spring,2024,11,0,0,0,0,21,0,3.942857143,0,ECE,0,0,6,0,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     281B,WANG Y F,Spring,2024,4,1,0,0,0,5,0,3.8,0,ECE,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     283,JEONG H,Spring,2024,4,0,0,0,0,20,0,3.77,0,ECE,0,0,6,4,0,0,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     502,SCHOW C L,Spring,2024,0,0,0,0,0,0,0,0,0,ECE,31,1,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     594BB,BANERJEE K,Spring,2024,5,0,0,0,0,7,0,3.857142857,0,ECE,1,0,0,1,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     594BB,ZHANG Z,Spring,2024,7,0,0,0,0,11,0,3.890909091,0,ECE,0,0,0,0,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     594F,BOWERS J E,Spring,2024,9,0,0,0,0,17,0,3.764705882,0,ECE,0,0,0,4,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     594V,CHANDRASEKARA,Spring,2024,9,0,0,0,0,9,0,4,0,ECE,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     595E,MANJUNATH B S,Spring,2024,0,0,0,0,0,0,0,0,0,ECE,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    204C,MA YUEYUAN,Spring,2024,6,0,0,0,0,16,0,3.6875,0,ECON,0,0,0,5,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    210C,QIN C Z,Spring,2024,8,3,0,0,0,18,0,3.65,0,ECON,0,0,2,2,0,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    241C,VAZQUEZ-BARE,Spring,2024,3,3,0,0,0,18,0,3.483333333,0,ECON,0,0,1,5,0,0,5,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    245G,VAZQUEZ-BARE,Spring,2024,12,0,0,0,0,15,0,3.96,0,ECON,0,0,1,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    245N,FARRELL M,Spring,2024,14,0,0,0,0,14,0,4,0,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    250D,LUNDBERG S J,Spring,2024,5,0,0,0,0,7,0,4,0,ECON,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    250K,HOFFMAN M,Spring,2024,5,0,0,0,0,5,0,4,0,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    260D,COSTELLO C J,Spring,2024,4,0,0,0,0,6,0,4,0,ECON,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    260I,MILLNER A M,Spring,2024,1,1,0,0,0,5,0,3.68,0,ECON,0,0,1,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    278C,OPREA R D,Spring,2024,5,0,0,0,0,5,0,4,0,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290,DESCHENES O,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,16,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290,EYSTER E,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,10,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290,FRECH H E,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,8,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290,KUHN P J,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,10,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290,MILLNER A M,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,16,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290,OPREA R D,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,10,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290,RUPERT P,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,6,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290,STARTZ R,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,13,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    290DM,THEBAUD S E,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    294,TAZHITDINOVA,Spring,2024,0,0,0,0,0,0,0,0,0,ECON,10,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      200B,BIANCHINI J A,Spring,2024,0,0,0,0,0,0,0,0,0,ED,8,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      210D,KYRATZIS A,Spring,2024,1,0,0,0,0,5,0,4,0,ED,0,0,4,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      214C,MAUL A E,Spring,2024,12,0,0,0,0,16,0,4,0,ED,0,0,4,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      220,AZZAM T,Spring,2024,23,0,0,0,0,23,0,4,0,ED,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      221GG,ROBERTS S A,Spring,2024,9,0,0,0,0,9,0,4,0,ED,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      222F,LAMBERT R,Spring,2024,5,0,0,0,0,5,0,4,0,ED,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      228C,FEDDERS A,Spring,2024,5,0,0,0,0,5,0,4,0,ED,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      228H,MASSIE J L,Spring,2024,9,0,0,0,0,12,0,3.95,0,ED,0,0,1,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      228J,FEDDERS A,Spring,2024,10,0,0,0,0,13,0,4,0,ED,0,0,3,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      229D,HOLDREN N R,Spring,2024,0,0,0,0,0,0,0,0,0,ED,5,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      229D,MORAN A S,Spring,2024,0,0,0,0,0,0,0,0,0,ED,8,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      253D,LEE J S,Spring,2024,3,0,0,0,0,8,0,4,0,ED,0,0,5,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
